product_name,product_price,product_image,product_comment
荣耀笔记本电脑MagicBook 14 14英寸全面屏轻薄本（AMD锐龙5 16G 512G 多屏协同 指纹Win10）银,4199.00,http://img11.360buyimg.com//n0/jfs/t1/134280/35/3937/454447/5f0472bbEb48f059d/154179fc9772093c.jpg,"[{'Comment_count': 200930, 'Goodcomment_count': 46081, 'GoodRate': 0.93}]"
product_name,product_price,product_image,product_comment
联想(Lenovo)小新Air14 2020性能版 英特尔酷睿i5 全面屏独显轻薄笔记本电脑(i5 16G 512G MX350 100%sRGB)银,5499.00,http://img11.360buyimg.com//n0/jfs/t1/145143/29/1636/222889/5ef831dbE4ece7453/5969340589cdabcb.jpg,"[{'Comment_count': 189690, 'Goodcomment_count': 44649, 'GoodRate': 0.93}]"
product_name,product_price,product_image,product_comment
华为(HUAWEI) MateBook D 14英寸全面屏轻薄笔记本电脑便携超级快充(AMD锐龙5 3500U 16+512GB)银,4299.00,http://img11.360buyimg.com//n0/jfs/t1/111762/25/9956/295806/5ee35448E8d677873/55ed834e5283e53c.jpg,"[{'Comment_count': 87319, 'Goodcomment_count': 17514, 'GoodRate': 0.94}]"
product_name,product_price,product_image,product_comment
联想(Lenovo)小新Pro13 2020锐龙版 全面屏办公超轻薄笔记本电脑(8核R7-4800U 16G 512G 高色域)深空灰,5399.00,http://img11.360buyimg.com//n0/jfs/t1/121165/24/3313/78922/5ecf3102E5e3f63ab/a6de689e3a2154a6.jpg,"[{'Comment_count': 250460, 'Goodcomment_count': 57487, 'GoodRate': 0.93}]"
product_name,product_price,product_image,product_comment
得力(deli)10本A5/60张无线装订软抄本记事本 工作笔记本子文具办公用品 7653,23.00,http://img11.360buyimg.com//n0/jfs/t1/112528/36/601/292181/5e8e80ebE8abc1ae4/495fd187233aebe9.jpg,"[{'Comment_count': 697631, 'Goodcomment_count': 413778, 'GoodRate': 0.99}]"
product_name,product_price,product_image,product_comment
联想（Lenovo）威6 2020款 英特尔酷睿 i5 14英寸窄边框轻薄笔记本电脑(i5-1035G1 8G 512G PCIE 2G独显 FHD 全功能Type-C )相思灰,4288.00,http://img11.360buyimg.com//n0/jfs/t1/133689/1/2120/183590/5ee4b49cE77dbeb76/7510d5458c4ee605.jpg,"[{'Comment_count': 58409, 'Goodcomment_count': 12439, 'GoodRate': 0.94}]"
product_name,product_price,product_image,product_comment
戴尔DELL灵越5000 14英寸酷睿i5网课学习轻薄笔记本电脑(十代i5-1035G1 8G 512G MX230 2G独显)银,4289.00,http://img11.360buyimg.com//n0/jfs/t1/128286/7/2247/303790/5ec37cabEf2a27dc3/4dec5022f102a39b.jpg,"[{'Comment_count': 130553, 'Goodcomment_count': 28027, 'GoodRate': 0.91}]"
product_name,product_price,product_image,product_comment
联想(Lenovo)小新Pro13 2020锐龙版 全面屏办公超轻薄笔记本电脑(6核R5-4600U 16G 512G 高色域)深空灰,4999.00,http://img11.360buyimg.com//n0/jfs/t1/117909/5/8587/79051/5ecf3258E484c6277/b2d13840bdd03b26.jpg,"[{'Comment_count': 250462, 'Goodcomment_count': 57489, 'GoodRate': 0.93}]"
product_name,product_price,product_image,product_comment
联想(Lenovo)小新15 2020英特尔酷睿i5 15.6英寸全面屏独显轻薄笔记本电脑(十代i5 16G 512G MX350高色域 )银,5599.00,http://img11.360buyimg.com//n0/jfs/t1/96596/21/19280/95993/5e9fd86bEcb713230/87effede1b943c01.jpg,"[{'Comment_count': 189688, 'Goodcomment_count': 44647, 'GoodRate': 0.93}]"
product_name,product_price,product_image,product_comment
联想(Lenovo)小新Air14 2020锐龙版 全面屏办公轻薄笔记本电脑(6核R5-4600U 16G 512G 100%sRGB高色域)深空灰,4499.00,http://img11.360buyimg.com//n0/jfs/t1/139311/28/1910/90920/5efea25aEb3270a1d/ed18a31d14807656.jpg,"[{'Comment_count': 250460, 'Goodcomment_count': 57487, 'GoodRate': 0.93}]"
